letters,required,score,words
lfubodt,b,43,17
lfubodt,u,57,23
lfubodt,f,48,18
lfubodt,l,69,31
uycnari,i,77,16
uycnari,r,106,25
uycnari,a,129,27
uycnari,n,106,21
uycnari,c,117,21
uycnari,y,111,21
uycnari,u,68,12
lcodtar,r,197,49
lcodtar,a,225,58
lcodtar,t,175,50
lcodtar,d,81,31
lcodtar,o,229,72
lcodtar,c,162,42
lcodtar,l,143,45
gdharpi,i,52,18
gdharpi,p,51,13
gdharpi,r,77,25
gdharpi,a,74,22
gdharpi,h,50,10
gdharpi,d,55,16
gdharpi,g,49,14
bvnargi,v,82,13
bvnargi,b,225,39
bohampi,i,37,8
bohampi,p,45,11
bohampi,m,58,16
bohampi,a,61,14
bohampi,h,31,6
bohampi,o,75,19
bohampi,b,50,11
lcotami,i,210,48
lcotami,m,153,44
lcotami,t,221,59
lcotami,o,179,55
lcotami,c,243,55
lcotami,l,227,65
lehnrgi,l,217,43
lehnrgi,h,127,25
bodnahk,k,45,15
bodnahk,h,41,12
bodnahk,a,94,21
bodnahk,n,88,24
bodnahk,d,56,13
bodnahk,o,97,27
bodnahk,b,93,20
ryedoam,y,211,44
gyenrpi,y,125,23
rlfuham,m,73,19
rlfuham,a,90,27
rlfuham,h,34,11
rlfuham,u,79,25
rlfuham,f,41,13
rlfuham,l,85,27
rlfuham,r,59,15
lcnampi,i,219,47
lcnampi,p,108,28
lcnampi,m,175,42
lcnampi,n,184,35
lcnampi,c,171,33
lcnampi,l,211,49
ljecdoa,a,161,40
ljecdoa,o,173,43
ljecdoa,c,163,39
ljecdoa,j,38,7
ljecdoa,l,188,50
bhntagi,h,172,31
bhntagi,b,211,32
lfynark,k,45,12
lfynark,r,42,12
lfynark,a,92,28
lfynark,n,47,14
lfynark,y,66,16
lfynark,f,53,13
lfynark,l,54,15
codntai,d,179,29
lyeotmg,g,77,16
lyeotmg,m,107,28
lyeotmg,t,100,28
lyeotmg,o,136,37
lyeotmg,e,136,36
lyeotmg,y,67,11
lyeotmg,l,142,37
glicnpk,k,156,30
glicnpk,c,131,22
glicnpk,l,152,27
glicnpk,p,142,24
lfeotai,i,138,38
lfeotai,a,235,53
lfeotai,o,167,41
lfeotai,e,212,55
lfeotai,f,226,62
leohntm,m,158,42
leohntm,t,216,57
leohntm,n,129,34
leohntm,h,94,25
leohntm,o,180,57
leohntm,e,234,64
leohntm,l,146,40
lfecdki,k,125,28
lfecdki,c,153,33
lfecdki,l,225,54
lfecdki,f,162,35
ledohki,i,142,35
ledohki,k,90,23
ledohki,o,144,35
ledohki,h,102,26
ledohki,l,162,45
lfenami,f,148,39
uyhnrgi,u,117,20
uyhnrgi,h,63,11
uyhnrgi,y,58,9
uyhnrgi,r,112,20
rlyeotm,m,210,49
rlyeotm,y,127,26
rlyeotm,l,206,48
becdhta,b,192,40
yentrgi,y,173,29
mbejoar,m,181,43
mbejoar,a,195,48
mbejoar,o,152,37
mbejoar,b,173,42
mbejoar,j,52,10
ledovnp,n,191,44
ledovnp,v,179,33
rweconm,m,134,33
rweconm,n,184,41
rweconm,o,240,59
rweconm,c,183,35
rweconm,w,97,25
lfumber,m,177,34
lfumber,b,241,49
lfumber,f,179,41
gmcnrpi,c,64,9
gmcnrpi,p,154,26
gmcnrpi,m,115,20
gmcnrpi,r,137,24
lyeotgi,i,96,25
lyeotgi,g,101,23
lyeotgi,t,88,26
lyeotgi,o,93,25
lyeotgi,e,124,29
lyeotgi,y,59,13
lyeotgi,l,157,44
lfbcoai,i,139,31
lfbcoai,a,177,40
lfbcoai,o,105,33
lfbcoai,c,126,30
lfbcoai,b,79,21
lfbcoai,f,101,25
lfbcoai,l,178,51
beontak,k,109,29
beontak,a,188,47
beontak,t,219,55
beontak,n,217,55
beontak,o,191,50
beontak,e,220,61
beontak,b,180,47
uedvntr,v,219,38
lubetax,x,56,10
lubetax,a,184,47
lubetax,t,188,47
lubetax,e,236,57
lubetax,b,163,45
lubetax,u,105,28
lubetax,l,217,50
lydntai,i,176,44
lydntai,a,192,42
lydntai,t,138,33
lydntai,n,148,31
lydntai,d,112,26
lydntai,y,161,32
lydntai,l,149,39
ucohntm,m,87,19
ucohntm,t,126,31
ucohntm,n,132,28
ucohntm,h,104,23
ucohntm,o,170,40
ucohntm,c,150,29
ucohntm,u,114,27
fkbeari,i,209,41
fkbeari,k,90,20
fkbeari,a,196,48
fkbeari,b,175,39
fkbeari,f,186,41
lyctmpi,i,109,29
lyctmpi,p,58,13
lyctmpi,m,57,12
lyctmpi,t,69,16
lyctmpi,c,70,12
lyctmpi,y,58,11
lyctmpi,l,94,22
luedtzi,i,177,41
luedtzi,z,29,3
luedtzi,t,151,36
luedtzi,u,107,23
luedtzi,l,209,47
lgyonap,p,129,34
lgyonap,a,199,47
lgyonap,n,134,33
lgyonap,o,195,52
lgyonap,y,173,33
lgyonap,g,132,32
lgyonap,l,214,54
lucqazi,i,50,8
lucqazi,z,17,2
lucqazi,a,47,9
lucqazi,q,28,5
lucqazi,c,41,7
lucqazi,u,38,9
lucqazi,l,47,10
ueotrpi,i,237,44
ueotrpi,u,208,43
fcodnai,i,86,20
fcodnai,a,103,20
fcodnai,n,100,23
fcodnai,d,67,16
fcodnai,o,103,28
fcodnai,c,116,24
fcodnai,f,31,10
luodtah,h,66,24
luodtah,a,88,31
luodtah,t,99,37
luodtah,d,66,23
luodtah,o,116,40
luodtah,u,54,21
luodtah,l,94,37
lcnakgi,k,224,38
uqdntar,r,74,18
uqdntar,a,101,25
uqdntar,t,96,24
uqdntar,n,75,16
uqdntar,d,36,9
uqdntar,q,36,6
uqdntar,u,66,18
fuevtgi,i,27,8
fuevtgi,g,29,6
fuevtgi,t,27,8
fuevtgi,v,23,4
fuevtgi,e,38,10
fuevtgi,u,23,5
fuevtgi,f,35,12
lbecdam,c,161,35
untamgi,u,240,38
becnari,n,227,49
becnari,c,208,42
becnari,b,212,45
lfontgi,f,192,39
yecohtr,c,250,41
yecohtr,y,112,19
rleohmi,i,161,36
rleohmi,m,145,37
rleohmi,o,163,38
rleohmi,h,116,24
rleohmi,l,145,40
luetaxr,x,71,13
luetaxr,u,129,29
luetaxr,l,248,53
umbohrg,g,51,11
umbohrg,r,72,19
umbohrg,h,56,10
umbohrg,o,76,20
umbohrg,b,61,16
umbohrg,m,61,13
umbohrg,u,80,17
wfuedor,u,93,23
wfuedor,f,210,44
wfuedor,w,144,31
lbecdha,h,177,37
lbecdha,c,197,38
fuenari,i,230,48
fuenari,a,184,42
fuenari,n,195,41
fuenari,u,108,22
fuenari,f,213,47
lubentr,n,244,49
lubentr,b,238,52
lubentr,l,207,46
lyectri,c,243,40
lyectri,y,144,25
ecntxmi,i,180,41
ecntxmi,m,152,34
ecntxmi,x,41,9
ecntxmi,t,175,40
ecntxmi,n,176,36
ecntxmi,c,137,23
ecntxmi,e,212,50
ueqonti,i,162,30
ueqonti,t,169,40
ueqonti,n,182,42
ueqonti,o,114,27
ueqonti,q,93,15
ueqonti,e,164,35
ueqonti,u,149,29
uevtapi,i,45,9
uevtapi,p,80,24
uevtapi,a,52,17
uevtapi,t,72,18
uevtapi,v,32,8
uevtapi,e,79,21
uevtapi,u,35,8
codnami,i,201,41
codnami,m,239,52
codnami,d,147,31
codnami,o,231,49
codnami,c,198,37
guyecnp,p,48,10
guyecnp,n,32,6
guyecnp,c,20,2
guyecnp,e,33,7
guyecnp,y,46,8
guyecnp,u,36,6
guyecnp,g,26,4
rechtam,m,222,56
wjetark,k,83,20
wjetark,a,166,43
wjetark,t,158,35
wjetark,j,30,6
wjetark,w,99,25
lyentai,y,173,31
udontmi,i,159,32
udontmi,m,121,28
udontmi,t,125,31
udontmi,n,154,35
udontmi,o,168,39
udontmi,d,98,21
udontmi,u,132,26
bedontk,k,106,24
bedontk,t,227,52
bedontk,n,239,58
bedontk,b,156,36
yvnargi,y,106,22
yvnargi,v,106,19
lucotpk,k,85,21
lucotpk,p,65,23
lucotpk,t,98,28
lucotpk,o,130,45
lucotpk,c,94,29
lucotpk,u,119,30
lucotpk,l,109,37
yectnai,i,216,43
yectnai,c,200,38
yectnai,e,206,43
yectnai,y,102,19
lubedmp,p,212,46
lubedmp,m,238,46
lubedmp,b,214,41
kconrgi,k,194,40
kconrgi,c,246,45
kconrgi,r,231,41
lbecdna,c,222,42
fetarpi,f,234,55
ybdnagi,y,96,17
ybdnagi,a,236,41
ybdnagi,d,169,28
ybdnagi,b,197,33
lyecamg,g,139,31
lyecamg,m,138,35
lyecamg,a,214,57
lyecamg,c,77,22
lyecamg,e,171,42
lyecamg,y,124,25
lyecamg,l,203,50
rweohmk,k,63,15
rweohmk,m,70,19
rweohmk,o,120,31
rweohmk,h,69,15
rweohmk,w,90,23
luybtar,r,142,33
luybtar,a,161,42
luybtar,t,130,31
luybtar,b,112,32
luybtar,y,132,29
luybtar,u,127,33
luybtar,l,143,32
lyecdai,y,235,45
lyehvai,i,62,18
lyehvai,a,83,25
lyehvai,v,101,28
lyehvai,h,44,15
lyehvai,e,99,30
lyehvai,y,63,14
lyehvai,l,112,35
yodthri,i,73,16
yodthri,r,72,23
yodthri,h,67,13
yodthri,t,107,30
yodthri,d,88,23
yodthri,o,108,33
yodthri,y,56,12
feconti,f,207,34
yeotrpi,y,171,34
umcnkgi,u,80,13
umcnkgi,c,88,15
umcnkgi,k,76,16
umcnkgi,m,107,18
wlodthi,i,74,23
wlodthi,h,61,17
wlodthi,t,68,26
wlodthi,d,66,19
wlodthi,o,91,30
wlodthi,l,59,27
wlodthi,w,60,16
wlfueak,k,54,17
wlfueak,a,64,23
wlfueak,e,69,27
wlfueak,u,54,12
wlfueak,f,66,21
wlfueak,l,91,34
wlfueak,w,46,15
fyecnvr,n,74,13
fyecnvr,v,88,18
fyecnvr,c,44,5
fyecnvr,y,44,9
fyecnvr,f,76,14
ohntamp,p,77,19
ohntamp,m,103,27
ohntamp,a,109,31
ohntamp,t,116,32
ohntamp,n,77,18
ohntamp,h,66,18
ohntamp,o,132,37
ydhntar,r,118,30
ydhntar,a,153,41
ydhntar,t,91,23
ydhntar,n,76,17
ydhntar,h,40,11
ydhntar,d,66,17
ydhntar,y,108,24
edtaxpi,i,189,39
edtaxpi,p,213,44
edtaxpi,x,98,16
edtaxpi,a,144,34
edtaxpi,t,231,48
ecdonag,g,182,41
rlfecki,k,125,25
rlfecki,c,178,34
rlfecki,l,243,55
rlfecki,f,234,49
uybtari,i,85,15
uybtari,r,115,28
uybtari,a,138,35
uybtari,t,130,30
uybtari,b,94,24
uybtari,y,88,19
uybtari,u,31,12
lecaxmi,i,154,33
lecaxmi,m,162,45
lecaxmi,x,84,15
lecaxmi,a,168,43
lecaxmi,c,128,31
lecaxmi,e,127,35
lecaxmi,l,174,42
wbdnagi,w,143,26
wbdnagi,d,164,29
wbdnagi,b,156,25
leohntp,p,156,44
leohntp,t,180,46
leohntp,n,120,34
leohntp,h,128,29
leohntp,o,203,63
leohntp,e,222,63
leohntp,l,145,43
uyctapi,i,71,15
uyctapi,p,78,19
uyctapi,a,94,21
uyctapi,t,94,23
uyctapi,c,80,16
uyctapi,y,83,15
uyctapi,u,55,12
jcotapk,k,42,13
jcotapk,p,44,12
jcotapk,a,76,19
jcotapk,t,56,15
jcotapk,o,74,22
jcotapk,c,58,19
jcotapk,j,16,3
fyentmi,i,169,44
fyentmi,m,90,25
fyentmi,t,174,42
fyentmi,n,184,38
fyentmi,e,162,42
fyentmi,y,86,16
fyentmi,f,88,19
ujbedar,u,137,31
ujbedar,j,88,16
beoaxrg,g,129,32
beoaxrg,x,24,3
beoaxrg,a,146,39
beoaxrg,o,84,24
beoaxrg,b,136,35
lbedohr,h,161,35
lfyedti,y,124,30
lfyedti,f,248,58
luentag,u,195,40
wmedorp,w,237,48
wmedorp,m,219,52
kmycrgi,i,62,12
kmycrgi,g,37,5
kmycrgi,r,35,6
kmycrgi,c,56,10
kmycrgi,y,42,6
kmycrgi,m,49,7
kmycrgi,k,44,8
edhnapi,i,152,36
edhnapi,p,235,48
edhnapi,a,199,42
edhnapi,h,110,23
glenxpi,l,156,30
glenxpi,p,190,35
glenxpi,e,219,44
glenxpi,x,49,7
lydnagi,y,212,35
uyeovrp,p,152,38
uyeovrp,v,100,21
uyeovrp,o,88,24
uyeovrp,u,74,17
uyeovrp,y,77,17
ludotai,i,56,18
ludotai,a,82,27
ludotai,t,98,35
ludotai,o,97,33
ludotai,d,82,27
ludotai,u,56,18
ludotai,l,76,35
wecdhki,i,139,36
wecdhki,k,103,26
wecdhki,h,104,25
wecdhki,c,143,33
wecdhki,w,58,15
lbetami,i,221,56
lfyberi,b,203,38
lfyberi,y,129,27
fuconti,i,147,29
fuconti,t,165,37
fuconti,n,186,39
fuconti,o,192,43
fuconti,c,137,27
fuconti,u,127,27
fuconti,f,74,18
gyeonrp,p,149,40
gyeonrp,n,144,34
gyeonrp,o,172,51
gyeonrp,y,93,22
gyeonrp,g,124,31
wdnargi,w,226,39
ryedami,y,205,41
lfuonrg,g,55,21
lfuonrg,r,74,20
lfuonrg,n,59,17
lfuonrg,o,83,29
lfuonrg,u,71,23
lfuonrg,f,87,25
lfuonrg,l,81,27
lfetxmi,i,128,41
lfetxmi,m,83,25
lfetxmi,x,51,8
lfetxmi,t,148,42
lfetxmi,e,164,50
lfetxmi,f,93,29
lfetxmi,l,157,44
uohnkgi,u,75,13
uohnkgi,o,128,27
uohnkgi,k,90,21
uohnkgi,h,84,16
lecohmk,k,64,21
lecohmk,m,44,15
lecohmk,h,83,21
lecohmk,o,90,32
lecohmk,c,94,26
lecohmk,e,102,31
lecohmk,l,86,27
betarpi,b,244,51
gecarpk,k,91,22
gecarpk,p,201,49
gecarpk,a,248,64
gecarpk,c,154,34
gecarpk,g,113,24
uyontam,m,176,38
uyontam,a,158,36
uyontam,t,162,37
uyontam,n,151,34
uyontam,o,143,35
uyontam,y,91,18
uyontam,u,121,26
luedtmi,u,182,39
lcdtari,r,200,44
lcdtari,t,240,50
lcdtari,d,120,28
lcdtari,c,230,42
lcdtari,l,156,40
ledvami,m,243,58
ledvami,v,214,46
luntapi,i,191,46
luntapi,p,175,42
luntapi,a,190,48
luntapi,t,173,45
luntapi,n,170,42
luntapi,u,108,30
luntapi,l,173,45
ueqoarp,p,156,41
ueqoarp,a,113,29
ueqoarp,o,71,19
ueqoarp,q,43,7
ueqoarp,u,93,23
guconpi,u,121,20
guconpi,c,127,23
guconpi,p,206,35
guconpi,o,203,40
evtargi,v,248,42
yucdhar,r,120,28
yucdhar,a,112,26
yucdhar,h,74,15
yucdhar,d,74,17
yucdhar,c,85,19
yucdhar,u,83,15
yucdhar,y,117,23
ecovtri,v,217,41
ecovtri,c,244,44
enaxmgi,e,184,40
enaxmgi,x,72,12
ecdohrp,h,248,49
lbchnai,i,199,37
lbchnai,a,210,40
lbchnai,n,158,27
lbchnai,h,117,21
lbchnai,c,215,35
lbchnai,b,134,23
lbchnai,l,182,36
wudongi,u,130,21
wudongi,w,192,32
bedontm,b,177,40
lubetri,u,227,50
leohnam,m,121,40
leohnam,a,134,44
leohnam,n,109,36
leohnam,h,53,17
leohnam,o,109,39
leohnam,e,124,45
leohnam,l,131,45
lbodari,i,127,35
lbodari,r,184,52
lbodari,a,200,54
lbodari,d,180,48
lbodari,o,159,45
lbodari,b,168,43
lbodari,l,148,46
lecdtki,k,135,33
lecdtki,t,244,53
lecdtki,c,217,44
lecdtki,l,242,56
lyecorg,g,138,33
lyecorg,o,190,49
lyecorg,c,127,25
lyecorg,y,133,30
lyecorg,l,171,44
lyentag,y,146,25
fueotri,i,187,38
fueotri,o,234,53
fueotri,u,162,34
fueotri,f,238,53
lecdnag,c,221,42
luecntr,l,219,44
etaxrpi,x,87,14
yntargi,y,187,35
lecovti,i,190,45
lecovti,t,182,46
lecovti,v,116,29
lecovti,o,160,45
lecovti,c,174,40
lecovti,e,227,53
lecovti,l,220,60
fuedtar,u,184,42
uybetrp,p,191,42
uybetrp,t,203,42
uybetrp,b,110,27
uybetrp,u,187,41
uybetrp,y,118,25
wbonari,i,95,19
wbonari,r,130,33
wbonari,a,127,30
wbonari,n,134,33
wbonari,o,145,35
wbonari,b,143,32
wbonari,w,69,14
wbeonri,i,171,34
wbeonri,n,191,43
wbeonri,o,200,46
wbeonri,b,187,41
wbeonri,w,149,34
ueqdarp,u,152,35
ueqdarp,q,53,9
lbentzi,i,178,41
lbentzi,z,32,4
lbentzi,t,170,41
lbentzi,n,143,32
lbentzi,e,205,48
lbentzi,b,110,24
lbentzi,l,173,40
gudonpi,u,167,28
gudonpi,p,210,35
gudonpi,d,203,35
gudonpi,o,208,40
bohnrgi,r,207,37
bohnrgi,b,215,37
bohnrgi,h,99,16
lohntai,i,211,44
lohntai,n,239,47
lohntai,h,96,25
lohntai,o,234,50
lohntai,l,192,51
ucntagi,u,152,27
ucntagi,c,191,32
lfuyetr,t,207,42
lfuyetr,u,200,43
lfuyetr,y,132,25
ycdnagi,y,101,16
ycdnagi,c,152,24
ycdnagi,d,171,27
ycdnagi,a,227,38
fbednti,b,164,31
fbednti,f,237,42
glbenpi,p,209,38
fehdnar,f,192,37
fehdnar,h,160,31
onvtami,m,191,41
onvtami,t,240,42
onvtami,v,93,14
luvtari,i,143,34
luvtari,r,162,34
luvtari,a,209,48
luvtari,t,129,29
luvtari,v,122,22
luvtari,u,83,17
luvtari,l,176,42
puednzi,i,161,31
puednzi,z,40,5
puednzi,n,237,43
puednzi,u,145,27
puednzi,p,185,36
lfotrpi,i,109,34
lfotrpi,p,117,31
lfotrpi,r,114,33
lfotrpi,t,120,40
lfotrpi,o,154,51
lfotrpi,f,91,26
lfotrpi,l,124,41
bcotari,i,210,40
bcotari,o,240,54
bcotari,c,222,41
bcotari,b,187,38
lecdtak,k,135,32
lecdtak,t,247,50
lecdtak,c,231,47
lbontki,i,111,35
lbontki,k,69,24
lbontki,t,77,28
lbontki,n,105,31
lbontki,o,119,44
lbontki,b,77,22
lbontki,l,89,34
glhntpi,t,249,46
glhntpi,l,170,30
glhntpi,h,146,26
glhntpi,p,138,24
yedhtar,y,228,45
lueontm,m,190,47
lueontm,t,221,58
lueontm,n,149,39
lueontm,o,172,53
lueontm,e,213,56
lueontm,u,92,25
lueontm,l,141,40
ucohtar,a,236,51
ucohtar,h,205,44
ucohtar,u,143,32
ubetaxi,i,36,9
ubetaxi,x,23,6
ubetaxi,a,49,19
ubetaxi,t,59,24
ubetaxi,e,49,19
ubetaxi,b,62,23
ubetaxi,u,32,11
ubcotak,k,82,19
ubcotak,a,113,27
ubcotak,t,115,33
ubcotak,o,133,33
ubcotak,c,114,25
ubcotak,b,98,24
ubcotak,u,63,18
lyonami,i,173,37
lyonami,m,213,50
lyonami,a,241,53
lyonami,n,230,50
lyonami,o,171,41
lyonami,y,133,27
lyonami,l,193,47
lcdoapk,k,61,18
lcdoapk,p,79,25
lcdoapk,a,108,30
lcdoapk,o,107,42
lcdoapk,d,43,14
lcdoapk,c,77,29
lcdoapk,l,97,37
ruchnam,m,74,16
ruchnam,a,82,19
ruchnam,n,70,12
ruchnam,h,80,17
ruchnam,c,82,18
ruchnam,u,80,15
ruchnam,r,72,16
lehnagi,h,131,27
rbohtam,m,139,36
rbohtam,a,205,52
rbohtam,t,193,53
rbohtam,h,101,25
rbohtam,o,241,63
rbohtam,b,130,32
rbohtam,r,171,43
fovnrgi,f,112,19
fovnrgi,o,171,33
fovnrgi,v,47,6
fovnrgi,r,185,32
lycarzi,i,132,26
lycarzi,z,28,6
lycarzi,r,111,25
lycarzi,a,155,35
lycarzi,c,135,24
lycarzi,y,137,26
lycarzi,l,142,30
ubdongi,u,179,29
ubdongi,d,248,42
ubdongi,b,224,38
ueqdvar,u,101,22
ueqdvar,q,58,10
ueqdvar,v,102,20
ueqdvar,a,140,35
pontarz,z,45,7
pontarz,r,192,46
pontarz,a,168,39
pontarz,t,199,45
pontarz,n,100,21
pontarz,o,178,42
pontarz,p,145,32
rynamgi,y,125,25
lumbehr,m,158,30
lumbehr,h,44,12
lumbehr,b,195,40
lumbehr,u,208,45
lumbehr,l,186,45
bchnrgi,c,86,16
bchnrgi,h,73,15
bchnrgi,b,77,12
bchnrgi,r,102,18
ueconar,a,204,48
ueconar,u,152,28
luentax,x,71,13
luentax,a,202,45
luentax,t,222,50
luentax,n,172,39
luentax,e,227,50
luentax,u,107,24
luentax,l,155,38
ednaxmi,i,211,50
ednaxmi,x,75,14
kedntri,k,191,41
lecdnak,k,199,44
lecdnak,c,248,51
fuyodnr,r,66,20
fuyodnr,n,77,17
fuyodnr,d,67,22
fuyodnr,o,76,26
fuyodnr,y,49,10
fuyodnr,u,81,21
fuyodnr,f,67,19
lbontag,g,121,35
lbontag,a,221,54
lbontag,t,141,37
lbontag,n,175,42
lbontag,o,230,66
lbontag,b,136,34
lbontag,l,174,49
ruytmpi,i,51,13
ruytmpi,p,66,18
ruytmpi,m,71,17
ruytmpi,t,62,16
ruytmpi,y,70,12
ruytmpi,u,92,20
ruytmpi,r,54,12
reovtmi,m,238,59
reovtmi,v,186,35
wlfedoa,f,211,52
uybonta,a,125,30
uybonta,t,135,38
uybonta,n,125,30
uybonta,o,141,37
uybonta,b,159,38
uybonta,y,117,24
uybonta,u,90,27
beodnrz,n,181,42
beodnrz,b,227,50
beodnrz,z,100,20
ydvtapi,i,60,16
ydvtapi,p,57,13
ydvtapi,a,76,18
ydvtapi,t,57,13
ydvtapi,v,45,9
ydvtapi,d,73,16
ydvtapi,y,66,12
ueqdont,n,242,55
ueqdont,t,216,50
ueqdont,o,180,44
ueqdont,q,61,9
ueqdont,u,174,37
lueqapi,i,80,17
lueqapi,p,121,34
lueqapi,a,116,27
lueqapi,q,63,12
lueqapi,e,104,25
lueqapi,u,103,24
lueqapi,l,131,33
lbetapi,i,232,51
lbetapi,b,219,52
recohmk,k,114,29
recohmk,m,101,24
recohmk,o,192,48
recohmk,h,152,30
recohmk,c,202,43
ybeodvr,y,81,22
ybeodvr,v,133,27
ybeodvr,b,180,39
ucdntgi,u,180,29
ucdntgi,c,115,17
ucdntgi,t,178,30
ucdntgi,d,153,24
uecovnr,v,148,29
uecovnr,n,250,46
uecovnr,o,218,45
uecovnr,c,222,39
uecovnr,u,165,29
lfycapi,i,166,32
lfycapi,p,114,25
lfycapi,a,203,43
lfycapi,c,143,26
lfycapi,y,109,21
lfycapi,f,117,24
lfycapi,l,202,46
wlfuear,a,177,45
wlfuear,u,118,28
wlfuear,l,196,51
wlfuear,f,197,46
wlfuear,w,91,23
ecovnrg,g,160,29
ecovnrg,v,171,30
ecovnrg,n,240,45
ecovnrg,o,242,52
ecovnrg,c,170,28
lyentmi,m,177,41
lyentmi,y,110,19
lyentmi,l,224,47
uednvta,v,139,25
uednvta,u,229,40
lubetam,u,179,45
luyvarg,g,80,20
luyvarg,r,93,20
luyvarg,a,136,32
luyvarg,v,66,12
luyvarg,y,76,15
luyvarg,u,86,19
luyvarg,l,107,25
wlcoark,k,96,29
wlcoark,r,117,29
wlcoark,a,143,38
wlcoark,o,164,46
wlcoark,c,159,42
wlcoark,l,130,37
wlcoark,w,70,19
ledarzi,z,132,24
ryontmi,i,100,26
ryontmi,m,100,26
ryontmi,t,94,31
ryontmi,n,109,29
ryontmi,o,122,39
ryontmi,y,64,13
ryontmi,r,80,25
genxrpi,x,32,4
fynamgi,y,66,12
fynamgi,a,232,45
fynamgi,f,86,15
fynamgi,m,172,33
fuontai,i,187,33
fuontai,a,158,30
fuontai,t,207,46
fuontai,n,213,43
fuontai,o,175,35
fuontai,u,111,25
fuontai,f,90,20
chnamgi,c,204,34
chnamgi,h,145,25
chnamgi,m,213,38
lyecong,g,129,27
lyecong,n,157,36
lyecong,o,223,53
lyecong,c,151,28
lyecong,e,174,38
lyecong,y,135,22
lyecong,l,198,45
yetaxrp,x,40,7
yetaxrp,y,166,36
wehtrgi,g,154,29
wehtrgi,w,209,45
lechngi,h,208,37
ubecdha,a,184,38
ubecdha,h,127,22
ubecdha,c,157,28
ubecdha,b,142,28
ubecdha,u,102,20
rwfeami,i,192,47
rwfeami,m,115,32
rwfeami,a,205,50
rwfeami,f,182,43
rwfeami,w,94,23
lfyctai,t,213,46
lfyctai,c,228,41
lfyctai,y,186,33
lfyctai,f,141,32
fuehdtr,u,180,43
fuehdtr,f,236,48
fuehdtr,h,134,29
ecntkgi,k,135,29
ecntkgi,c,122,23
ecntkgi,t,224,43
ecntkgi,e,229,48
cntakgi,k,157,27
wlecngi,c,119,20
wlecngi,l,213,40
wlecngi,w,104,20
wlecngi,e,196,41
luonarg,g,139,38
luonarg,r,118,29
luonarg,a,172,44
luonarg,n,157,40
luonarg,o,114,34
luonarg,u,93,23
luonarg,l,148,40
kedonri,k,205,45
kedonri,o,234,53
mevarpi,i,220,47
mevarpi,p,242,56
mevarpi,m,139,37
mevarpi,a,174,49
mevarpi,v,101,24
weoarpk,k,112,32
weoarpk,p,205,55
weoarpk,a,171,44
weoarpk,o,145,37
weoarpk,w,155,38
ecdovta,v,154,27
ecdovta,a,186,39
ecdovta,t,229,48
ecdovta,o,224,49
ecdovta,c,204,41
cdhnari,i,170,38
cdhnari,r,137,32
cdhnari,a,193,42
cdhnari,n,131,27
cdhnari,h,92,23
cdhnari,d,121,27
cdhnari,c,168,35
beovtri,i,203,40
beovtri,v,138,28
beovtri,o,166,45
beovtri,b,129,31
udhntgi,u,147,26
udhntgi,t,175,34
udhntgi,d,110,20
udhntgi,h,114,24
lybedta,y,180,37
wfdnmgi,f,38,6
wfdnmgi,w,52,8
wfdnmgi,d,75,13
wfdnmgi,m,57,10
ruytami,i,83,17
ruytami,m,135,29
ruytami,a,152,36
ruytami,t,133,29
ruytami,y,112,20
ruytami,u,95,16
ruytami,r,151,32
luycnai,i,148,23
luycnai,a,197,37
luycnai,n,158,28
luycnai,c,180,30
luycnai,y,138,23
luycnai,u,71,14
luycnai,l,178,37
wechvri,i,191,40
wechvri,v,122,23
wechvri,h,123,26
wechvri,c,128,24
wechvri,w,105,25
lectark,k,184,42
glenazi,z,96,17
ueconrp,u,211,41
odnthgi,t,247,47
odnthgi,d,185,33
odnthgi,h,169,32
luectrk,k,74,17
luectrk,t,185,38
luectrk,c,202,42
luectrk,u,222,50
luectrk,l,196,44
covntgi,c,230,33
covntgi,v,109,13
covntgi,t,248,38
lybecar,c,194,38
lybecar,y,216,46
fyectri,i,230,48
fyectri,t,199,40
fyectri,c,118,19
fyectri,y,74,14
fyectri,f,192,40
uchnrgi,u,178,29
uchnrgi,c,166,28
uchnrgi,h,146,26
uchnrgi,r,165,28
wchntam,m,46,10
wchntam,a,106,29
wchntam,t,78,22
wchntam,n,46,9
wchntam,h,67,17
wchntam,c,73,14
wchntam,w,35,9
lyctapi,p,206,37
lyctapi,y,214,33
edntrzi,z,78,7
rlyoami,i,79,25
rlyoami,m,192,47
rlyoami,a,240,57
rlyoami,o,174,41
rlyoami,y,155,31
rlyoami,l,181,46
rlyoami,r,203,46
wlyonrg,g,61,19
wlyonrg,r,63,17
wlyonrg,n,48,15
wlyonrg,o,106,35
wlyonrg,y,76,17
wlyonrg,l,80,22
wlyonrg,w,61,15
gfuntzi,u,115,21
gfuntzi,t,142,26
gfuntzi,f,94,19
gfuntzi,z,45,9
kecdtri,k,222,44
lbecdri,c,185,36
eohnarg,o,164,40
eohnarg,h,100,20
ecdnkpi,p,208,43
ecdnkpi,k,143,37
ecdnkpi,n,231,45
ecdnkpi,c,162,34
edovtxr,v,202,37
edovtxr,x,89,13
lyenarp,n,154,35
lyenarp,y,228,51
wlentki,i,181,54
wlentki,k,89,29
wlentki,t,180,49
wlentki,n,190,49
wlentki,e,222,59
wlentki,l,173,47
wlentki,w,76,25
lyeoarg,o,211,51
